fdc_id,description,food_category_id
330201,"yogurt, greek, strawberry, non-fat, dannon oikos ",1
330221,"yogurt, greek, strawberry, non-fat, chobani ",1
330236,"yogurt, greek, strawberry, non-fat, dannon oikos ",1
330257,"yogurt, greek, strawberry, non-fat, chobani ",1
330279,"yogurt, greek, strawberry, non-fat, chobani ",1
330292,"yogurt, greek, strawberry, non-fat, chobani ",1
330307,"yogurt, greek, strawberry, non-fat, fage total ",1
330329,"yogurt, greek, strawberry, non-fat, fage total ",1
330352,"yogurt, greek, strawberry, non-fat, chobani ",1
330376,"yogurt, greek, strawberry, non-fat, fage total ",1
330392,"yogurt, greek, strawberry, non-fat, chobani ",1
330416,"oil, coconut, lou ana ",4
330421,"oil, coconut, lou ana ",4
330426,"oil, coconut, lou ana ",4
330433,"oil, coconut, lou ana ",4
330441,"oil, coconut, lou ana ",4
330450,"oil, coconut, better body organic ",4
330459,"ground turkey, 93% lean, 7% fat, pan-broiled crumbles ",5
330460,"measures, crumbles, rep 1, turkey, ground, 7% fat ",5
330461,"measures, crumbles, rep 2, turkey, ground, 7% fat ",5
330462,"turkey, ground, 7% fat ",5
330463,"measures, crumbles, rep 3, turkey, ground, 7% fat ",5
330466,"ground turkey, 93% lean, 7% fat, raw ",5
330467,"turkey, ground, 7% fat ",5
330468,"turkey, ground, 7% fat ",5
330469,"turkey, ground, 7% fat ",5
330470,"turkey, ground, 7% fat ",5
330471,"turkey, ground, 7% fat ",5
330472,"turkey, ground, 7% fat ",5
330473,"turkey, ground, 7% fat ",5
330474,"turkey, ground, 7% fat ",5
330475,"turkey, ground, 7% fat ",5
330476,"turkey, ground, 7% fat ",5
330486,"ground turkey, 93% lean, 7% fat, raw ",5
330496,"ground turkey, 93% lean, 7% fat, raw ",5
330497,"measures, raw, turkey, ground, 7% fat ",5
330500,"ground turkey, 93% lean, 7% fat, pan-broiled crumbles ",5
330509,"ground turkey, 93% lean, 7% fat, pan-broiled crumbles ",5
330519,"ground turkey, 93% lean, 7% fat, pan-broiled crumbles ",5
330520,"measures, crumbles, rep 2, turkey, ground, 7% fat ",5
330521,"measures, crumbles, rep 1, turkey, ground, 7% fat ",5
330522,"measures, crumbles, rep 5, turkey, ground, 7% fat ",5
330523,"measures, crumbles, rep 4, turkey, ground, 7% fat ",5
330524,"measures, crumbles, rep 3, turkey, ground, 7% fat ",5
330527,"ground turkey, 93% lean, 7% fat, patties, broiled ",5
330536,"ground turkey, 93% lean, 7% fat, patties, broiled ",5
330546,"ground turkey, 93% lean, 7% fat, patties, broiled ",5
330547,"measures, patty, rep 2, turkey, ground, 7% fat ",5
330548,"measures, patty, rep 6, turkey, ground, 7% fat ",5
330549,"measures, patty, rep 10, turkey, ground, 7% fat ",5
330550,"measures, patty, rep 5, turkey, ground, 7% fat ",5
330551,"measures, patty, rep 9, turkey, ground, 7% fat ",5
330552,"measures, patty, rep 1, turkey, ground, 7% fat ",5
330553,"measures, patty, rep 4, turkey, ground, 7% fat ",5
330554,"measures, patty, rep 8, turkey, ground, 7% fat ",5
330555,"measures, patty, rep 3, turkey, ground, 7% fat ",5
330556,"measures, patty, rep 7, turkey, ground, 7% fat ",5
330559,"ground turkey, 93% lean, 7% fat, raw ",5
330569,"ground turkey, 93% lean, 7% fat, raw ",5
330570,"measures, raw, turkey, ground, 7% fat ",5
330573,"ground turkey, 93% lean, 7% fat, pan-broiled crumbles ",5
330583,"ground turkey, 93% lean, 7% fat, pan-broiled crumbles ",5
330584,"measures, crumbles, rep 1, turkey, ground, 7% fat ",5
330585,"measures, crumbles, rep 2, turkey, ground, 7% fat ",5
330586,"measures, crumbles, rep 4, turkey, ground, 7% fat ",5
330587,"measures, crumbles, rep 3, turkey, ground, 7% fat ",5
330590,"ground turkey, 93% lean, 7% fat, patties, broiled ",5
330600,"ground turkey, 93% lean, 7% fat, patties, broiled ",5
330601,"measures, patty, rep 1, turkey, ground, 7% fat ",5
330602,"measures, patty, rep 5, turkey, ground, 7% fat ",5
330603,"measures, patty, rep 4, turkey, ground, 7% fat ",5
330604,"measures, patty, rep 3, turkey, ground, 7% fat ",5
330605,"measures, patty, rep 7, turkey, ground, 7% fat ",5
330606,"measures, patty, rep 2, turkey, ground, 7% fat ",5
330607,"measures, patty, rep 6, turkey, ground, 7% fat ",5
330610,"ground turkey, 93% lean, 7% fat, raw ",5
330620,"ground turkey, 93% lean, 7% fat, raw ",5
330621,"measures, raw, turkey, ground, 7% fat ",5
330624,"ground turkey, 93% lean, 7% fat, pan-broiled crumbles ",5
330634,"ground turkey, 93% lean, 7% fat, pan-broiled crumbles ",5
330635,"measures, crumbles, rep 4, turkey, ground, 7% fat ",5
330636,"measures, crumbles, rep 3, turkey, ground, 7% fat ",5
330637,"measures, crumbles, rep 2, turkey, ground, 7% fat ",5
330638,"measures, crumbles, rep 1, turkey, ground, 7% fat ",5
330641,"ground turkey, 93% lean, 7% fat, patties, broiled ",5
330651,"ground turkey, 93% lean, 7% fat, patties, broiled ",5
330652,"measures, patty, rep 1, turkey, ground, 7% fat ",5
330653,"measures, patty, rep 5, turkey, ground, 7% fat ",5
330654,"measures, patty, rep 4, turkey, ground, 7% fat ",5
330655,"measures, patty, rep 3, turkey, ground, 7% fat ",5
330656,"measures, patty, rep 8, turkey, ground, 7% fat ",5
330657,"measures, patty, rep 2, turkey, ground, 7% fat ",5
330658,"measures, patty, rep 6, turkey, ground, 7% fat ",5
330659,"measures, patty, rep 7, turkey, ground, 7% fat ",5
330662,"ground turkey, 93% lean, 7% fat, raw ",5
330672,"ground turkey, 93% lean, 7% fat, raw ",5
330673,"measures, raw, turkey, ground, 7% fat ",5
330676,"ground turkey, 93% lean, 7% fat, pan-broiled crumbles ",5
330686,"ground turkey, 93% lean, 7% fat, pan-broiled crumbles ",5
330687,"measures, crumbles, rep 1, turkey, ground, 7% fat ",5
330688,"measures, crumbles, rep 5, turkey, ground, 7% fat ",5
330689,"measures, crumbles, rep 4, turkey, ground, 7% fat ",5
330690,"measures, crumbles, rep 3, turkey, ground, 7% fat ",5
330691,"measures, crumbles, rep 2, turkey, ground, 7% fat ",5
330692,"measures, crumbles, rep 6, turkey, ground, 7% fat ",5
330695,"ground turkey, 93% lean, 7% fat, patties, broiled ",5
330705,"ground turkey, 93% lean, 7% fat, patties, broiled ",5
330706,"measures, patty, rep 6, turkey, ground, 7% fat ",5
330707,"measures, patty, rep 2, turkey, ground, 7% fat ",5
330708,"measures, patty, rep 7, turkey, ground, 7% fat ",5
330709,"measures, patty, rep 3, turkey, ground, 7% fat ",5
330710,"measures, patty, rep 9, turkey, ground, 7% fat ",5
330711,"measures, patty, rep 10, turkey, ground, 7% fat ",5
330712,"measures, patty, rep 11, turkey, ground, 7% fat ",5
330713,"measures, patty, rep 5, turkey, ground, 7% fat ",5
330714,"measures, patty, rep 8, turkey, ground, 7% fat ",5
330715,"measures, patty, rep 4, turkey, ground, 7% fat ",5
330716,"measures, patty, rep 1, turkey, ground, 7% fat ",5
330719,"ground turkey, 93% lean, 7% fat, raw ",5
330720,"measures, raw, turkey, ground, 7% fat ",5
330723,"ground turkey, 93% lean, 7% fat, pan-broiled crumbles ",5
330724,"measures, crumbles, rep 4, turkey, ground, 7% fat ",5
330725,"measures, crumbles, rep 1, turkey, ground, 7% fat ",5
330726,"measures, crumbles, rep 3, turkey, ground, 7% fat ",5
330727,"measures, crumbles, rep 2, turkey, ground, 7% fat ",5
330730,"ground turkey, 93% lean, 7% fat, patties, broiled ",5
330731,"measures, patty, rep 5, turkey, ground, 7% fat ",5
330732,"measures, patty, rep 3, turkey, ground, 7% fat ",5
330733,"measures, patty, rep 4, turkey, ground, 7% fat ",5
330734,"measures, patty, rep 8, turkey, ground, 7% fat ",5
330735,"measures, patty, rep 2, turkey, ground, 7% fat ",5
330736,"measures, patty, rep 7, turkey, ground, 7% fat ",5
330737,"measures, patty, rep 1, turkey, ground, 7% fat ",5
330738,"measures, patty, rep 6, turkey, ground, 7% fat ",5
330741,"ground turkey, 93% lean, 7% fat, raw ",5
330742,"measures, raw, turkey, ground, 7% fat ",5
330745,"ground turkey, 93% lean, 7% fat, pan-broiled crumbles ",5
330746,"measures, crumbles, rep 4, turkey, ground, 7% fat ",5
330747,"measures, crumbles, rep 3, turkey, ground, 7% fat ",5
330748,"measures, crumbles, rep 2, turkey, ground, 7% fat ",5
330749,"measures, crumbles, rep 1, turkey, ground, 7% fat ",5
330750,"measures, crumbles, rep 5, turkey, ground, 7% fat ",5
330753,"ground turkey, 93% lean, 7% fat, patties, broiled ",5
330754,"measures, patty, rep 10, turkey, ground, 7% fat ",5
330755,"measures, patty, rep 5, turkey, ground, 7% fat ",5
330756,"measures, patty, rep 1, turkey, ground, 7% fat ",5
330757,"measures, patty, rep 4, turkey, ground, 7% fat ",5
330758,"measures, patty, rep 9, turkey, ground, 7% fat ",5
330759,"measures, patty, rep 3, turkey, ground, 7% fat ",5
330760,"measures, patty, rep 8, turkey, ground, 7% fat ",5
330761,"measures, patty, rep 2, turkey, ground, 7% fat ",5
330762,"measures, patty, rep 6, turkey, ground, 7% fat ",5
330763,"measures, patty, rep 7, turkey, ground, 7% fat ",5
330766,"ground turkey, 93% lean, 7% fat, raw ",5
330767,"measures, raw, turkey, ground, 7% fat ",5
330770,"ground turkey, 93% lean, 7% fat, pan-broiled crumbles ",5
330771,"measures, crumbles, rep 4, turkey, ground, 7% fat ",5
330772,"measures, crumbles, rep 1, turkey, ground, 7% fat ",5
330773,"measures, crumbles, rep 5, turkey, ground, 7% fat ",5
330774,"measures, crumbles, rep 3, turkey, ground, 7% fat ",5
330775,"measures, crumbles, rep 2, turkey, ground, 7% fat ",5
330778,"ground turkey, 93% lean, 7% fat, patties, broiled ",5
330779,"measures, patty, rep 2, turkey, ground, 7% fat ",5
330780,"measures, patty, rep 6, turkey, ground, 7% fat ",5
330781,"measures, patty, rep 10, turkey, ground, 7% fat ",5
330782,"measures, patty, rep 5, turkey, ground, 7% fat ",5
330783,"measures, patty, rep 1, turkey, ground, 7% fat ",5
330784,"measures, patty, rep 9, turkey, ground, 7% fat ",5
330785,"measures, patty, rep 4, turkey, ground, 7% fat ",5
330786,"measures, patty, rep 8, turkey, ground, 7% fat ",5
330787,"measures, patty, rep 3, turkey, ground, 7% fat ",5
330788,"measures, patty, rep 7, turkey, ground, 7% fat ",5
